experiment_id,lambda_joint_soft_group,decoder_name,cohort,matrix_type,true_label,pred_label,count,row_sum,row_percent
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,0,0,392,419,0.9355608591885441
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,0,1,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,0,2,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,0,3,27,419,0.06443914081145585
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,1,0,4,5,0.8
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,1,1,0,5,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,1,2,0,5,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,1,3,1,5,0.2
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,2,0,39,46,0.8478260869565217
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,2,1,1,46,0.021739130434782608
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,2,2,0,46,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,2,3,6,46,0.13043478260869565
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,3,0,30,36,0.8333333333333334
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,3,1,0,36,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,3,2,0,36,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,grade,3,3,6,36,0.16666666666666666
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,0,0,341,368,0.9266304347826086
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,0,1,0,368,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,0,2,0,368,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,0,3,27,368,0.07336956521739131
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,1,0,4,5,0.8
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,1,1,0,5,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,1,2,0,5,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,1,3,1,5,0.2
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,2,0,35,42,0.8333333333333334
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,2,1,1,42,0.023809523809523808
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,2,2,0,42,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,2,3,6,42,0.14285714285714285
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,3,0,25,31,0.8064516129032258
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,3,1,0,31,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,3,2,0,31,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,grade,3,3,6,31,0.1935483870967742
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,0,0,154,154,1.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,0,1,0,154,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,0,2,0,154,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,0,3,0,154,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,1,0,22,24,0.9166666666666666
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,1,1,0,24,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,1,2,0,24,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,1,3,2,24,0.08333333333333333
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,2,0,16,17,0.9411764705882353
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,2,1,0,17,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,2,2,0,17,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,2,3,1,17,0.058823529411764705
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,3,0,2,5,0.4
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,3,1,0,5,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,3,2,0,5,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,grade,3,3,3,5,0.6
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,0,0,47,51,0.9215686274509803
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,0,1,3,51,0.058823529411764705
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,0,2,0,51,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,0,3,1,51,0.0196078431372549
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,1,0,17,19,0.8947368421052632
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,1,1,0,19,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,1,2,0,19,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,1,3,2,19,0.10526315789473684
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,0,48,56,0.8571428571428571
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,1,1,56,0.017857142857142856
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,2,0,56,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,2,3,7,56,0.125
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,0,75,95,0.7894736842105263
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,1,4,95,0.042105263157894736
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,2,0,95,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade,3,3,16,95,0.16842105263157894
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,0,43,47,0.9148936170212766
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,1,3,47,0.06382978723404255
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,2,0,47,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,0,3,1,47,0.02127659574468085
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,0,16,18,0.8888888888888888
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,1,0,18,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,2,0,18,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,1,3,2,18,0.1111111111111111
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,0,42,50,0.84
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,1,1,50,0.02
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,2,0,50,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade,2,3,7,50,0.14
