experiment_id,lambda_joint_soft_group,decoder_name,cohort,matrix_type,true_label,pred_label,count,row_sum,row_percent
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,00,377,419,0.8997613365155132
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,11,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,12,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,21,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,22,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,32,27,419,0.06443914081145585
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,00,INV,15,419,0.03579952267303103
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,00,2,2,1.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,11,0,2,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,12,0,2,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,21,0,2,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,22,0,2,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,32,0,2,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,11,INV,0,2,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,00,1,3,0.3333333333333333
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,11,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,12,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,21,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,22,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,32,1,3,0.3333333333333333
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,12,INV,1,3,0.3333333333333333
grandBatch128,joint_ce_on,decoder_non_qwk,handan,joint6_with_inv,21,00,1,1,1.0
