experiment_id,lambda_joint_soft_group,decoder_name,cohort,matrix_type,true_label,pred_label,count,row_sum,row_percent
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,0,0,377,419,0.8997613365155132
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,0,1,0,419,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,0,2,42,419,0.10023866348448687
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,1,0,3,3,1.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,1,1,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,1,2,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,2,0,59,84,0.7023809523809523
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,2,1,0,84,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan,stage,2,2,25,84,0.2976190476190476
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,0,0,326,368,0.8858695652173914
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,0,1,0,368,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,0,2,42,368,0.11413043478260869
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,1,0,3,3,1.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,1,1,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,1,2,0,3,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,2,0,50,75,0.6666666666666666
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,2,1,0,75,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,stage,2,2,25,75,0.3333333333333333
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,0,0,154,154,1.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,0,1,0,154,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,0,2,0,154,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,1,0,11,12,0.9166666666666666
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,1,1,0,12,0.0
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,1,2,1,12,0.08333333333333333
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,stage,2,0,23,34,0.6764705882352942
