experiment_root,experiment_id,lambda_joint_soft_group,decoder_name,cohort,result_path,run_info_path,N,MAE_grade,QWK_grade,MAE_stage,QWK_stage,AUROC_grade_any_htn,AUROC_grade_ge1,AUROC_grade_ge2,AUROC_grade_ge3,AUROC_stage_any_htn,AUROC_stage_ge1,AUROC_stage_ge2,ECE_grade_any_htn,Brier_grade_any_htn,ECE_stage_any_htn,Brier_stage_any_htn,invalid_rate,decoder_mode,decoder_objective,cutpoints,thresholds,used_saved_thresholds,has_val_search,temperature_grade,temperature_stage,QWK_grade_raw,QWK_grade_final,QWK_stage_raw,QWK_stage_final,MAE_grade_raw,MAE_grade_final,MAE_stage_raw,MAE_stage_final,invalid_rate_raw,invalid_rate_final,fused_invalid_rate,mean_alpha_gate,mean_q1,mean_q2,AUC_cond_11_vs12,AUC_cond_21_vs22,v2_disable_legacy_joint,teacher_force_grade_epochs,graph_edge_weights_summary,MAE_grade_fused,QWK_grade_fused,MAE_stage_fused,QWK_stage_fused,ACC_grade_fused,ACC_stage_fused,ACC_joint6_fused,AUROC_grade_any_htn_fused,AUROC_grade_ge2_fused,AUROC_grade_ge3_fused,AUROC_stage_any_htn_fused,AUROC_stage_ge2_fused,mean_gate_g,mean_gate_s,use_stopgrad_grade_for_cond,joint_beta_stage,joint_gamma_cond,cond_pos_weight_g1,cond_pos_weight_g2,embtab_v2lite_grade_fusion,embtab_v2lite_stage_fusion,embtab_v2lite_conditional_stage,embtab_v2lite_stage_soft_label,lpv3_enable_neck,lpv3_joint_aware_sampler,lpv3_sampler_mode,lpv3_sampler_power,lpv3_sampler_cap,lpv3_sampler_boost_11,lpv3_sampler_boost_21,lpv3_stageA_epochs,lpv3_enable_cond_after_epoch,lpv3_enable_soft_joint_after_epoch,delta_QWK_grade_final_minus_raw,delta_QWK_stage_final_minus_raw,delta_MAE_grade_final_minus_raw,delta_MAE_stage_final_minus_raw,delta_invalid_rate_final_minus_raw,delta_QWK_grade_fused_minus_final,delta_QWK_stage_fused_minus_final,delta_MAE_grade_fused_minus_final,delta_MAE_stage_fused_minus_final,delta_AUROC_grade_any_fused_minus_final,delta_AUROC_stage_ge2_fused_minus_final,grade0_recall_final,grade1_recall_final,grade2_recall_final,grade3_recall_final,stage0_recall_final,stage1_recall_final,stage2_recall_final,joint00_recall_final,joint11_recall_final,joint12_recall_final,joint21_recall_final,joint22_recall_final,joint32_recall_final,grade1_recall_fused,grade2_recall_fused,stage1_recall_fused,joint11_recall_fused,joint21_recall_fused,joint22_recall_fused,joint00_recall_fused,joint32_recall_fused,middle_grade_recall_final,middle_stage_recall_final,middle_joint_recall_final,middle_grade_recall_fused,middle_stage_recall_fused,middle_joint_recall_fused,extreme_joint_recall_final,extreme_joint_recall_fused
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_non_qwk,handan,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/handan/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/handan/run_info.txt,506,0.517787,0.118507,0.405138,0.211898,0.7112994815241543,0.7112994815241543,0.6961861481822366,0.5958037825059102,0.7095163635366089,0.7095163635366089,0.7153012863913338,0.22085073319348422,0.18626271812489836,0.17998390329685135,0.16869162744125485,0.05138339920948617,non,qwk,,,False,False,,,0.11850731215330312,0.11850731215330312,0.21189832921313068,0.21189832921313068,0.5177865612648221,0.5177865612648221,0.4051383399209486,0.4051383399209486,0.05138339920948617,0.05138339920948617,0.0,1.0,0.6835383176803589,0.6771565675735474,0.8333333333333334,1.0,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",0.5237154150197628,0.13595706618962422,0.3932806324110672,0.1328624606280424,0.7845849802371542,0.8003952569169961,0.7845849802371542,0.7103119084848983,0.7006442705936493,0.6040189125295509,0.7103119084848983,0.7164014895057549,0.5284448862075806,0.5696017742156982,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.0,0.0,0.0,0.0,0.0,0.017449754036321097,-0.07903586858508826,0.005928853754940677,-0.01185770750988141,-0.0009875730392560067,0.00110020311442105,0.9355608591885441,0.0,0.0,0.16666666666666666,0.8997613365155132,0.0,0.2976190476190476,0.8997613365155132,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.9307875894988067,0.19444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.5332140015910899,0.5626160169716256
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/handan_have_bmi/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/handan_have_bmi/run_info.txt,446,0.535874,0.127752,0.419283,0.225571,0.7164158305462653,0.7164158305462653,0.7013845532336846,0.6057520404197435,0.7178442028985508,0.7178442028985508,0.7249236298292902,0.23584218864483683,0.19365575935628593,0.19347566606752542,0.17403319480215115,0.05829596412556054,non,qwk,,,False,False,,,0.12775228061804278,0.12775228061804278,0.22557122932482143,0.22557122932482143,0.5358744394618834,0.5358744394618834,0.4192825112107623,0.4192825112107623,0.05829596412556054,0.05829596412556054,0.0,1.0,0.6846922636032104,0.6784714460372925,0.8333333333333334,1.0,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",0.5426008968609866,0.1462563605524595,0.40582959641255606,0.14242713142587815,0.7757847533632287,0.7937219730941704,0.7757847533632287,0.7159977703455964,0.7068566601784861,0.6165565487757482,0.7159977703455964,0.7243126684636119,0.5268257260322571,0.5665698051452637,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.0,0.0,0.0,0.0,0.0,0.018504079934416717,-0.08314409789894328,0.006726457399103158,-0.013452914798206261,-0.0004180602006689238,-0.0006109613656782864,0.9266304347826086,0.0,0.0,0.1935483870967742,0.8858695652173914,0.0,0.3333333333333333,0.8858695652173914,0.0,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.9211956521739131,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.5397089761570828,0.5735010518934082
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_non_qwk,hebei,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/hebei/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/hebei/run_info.txt,200,0.325,0.364669,0.29,0.411765,0.9699322416713722,0.9699322416713722,0.9476506639427987,0.9487179487179487,0.9737436476566911,0.9737436476566911,0.9649184975194898,0.13856078356504442,0.08876259345649215,0.12993354797363282,0.09483131484129168,0.03,non,qwk,,,False,False,,,0.3646688406611941,0.3646688406611941,0.41176470588235303,0.41176470588235303,0.325,0.325,0.29,0.29,0.03,0.03,0.0,1.0,0.7835639715194702,0.8169721961021423,0.6643356643356644,0.1875,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",0.32,0.4043428818974387,0.33,0.27184466019417486,0.785,0.805,0.785,0.9717673630717109,0.9525025536261491,0.9548717948717949,0.9717673630717109,0.9624379872430899,0.5475285649299622,0.5852903127670288,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.0,0.0,0.0,0.0,0.0,0.03967404123624463,-0.13992004568817817,-0.0050000000000000044,0.040000000000000036,0.0018351214003387017,-0.002480510276399839,1.0,0.0,0.0,0.6,1.0,0.0,0.3235294117647059,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/hfirstALL/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/hfirstALL/run_info.txt,221,1.647059,0.086826,1.085973,0.111736,0.6251441753171857,0.6251441753171857,0.6262062440870387,0.5721804511278195,0.6200692041522491,0.6200692041522491,0.6747417840375588,0.3045877711805284,0.2742643470331911,0.3441789144843952,0.3026441369272258,0.10407239819004525,non,qwk,,,False,False,,,0.08682565408659415,0.08682565408659415,0.11173633440514474,0.11173633440514474,1.6470588235294117,1.6470588235294117,1.085972850678733,1.085972850678733,0.10407239819004525,0.10407239819004525,0.0,1.0,0.6284409165382385,0.61797034740448,0.8295454545454546,0.7102272727272727,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",1.6334841628959276,0.07533884879422637,1.1945701357466063,0.07050602728838262,0.29411764705882354,0.3574660633484163,0.29411764705882354,0.6249134948096885,0.6236518448438978,0.579281537176274,0.6249134948096885,0.6731455399061033,0.5239824652671814,0.5693567395210266,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.0,0.0,0.0,0.0,0.0,-0.011486805292367785,-0.04123030711676212,-0.013574660633484115,0.10859728506787336,-0.00023068050749719404,-0.0015962441314555376,0.9215686274509803,0.0,0.0,0.16842105263157894,0.8431372549019608,0.0,0.32,0.8431372549019608,0.0,0.0,0.0,0.0,0.16842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.5057791537667699,0.5464396284829721
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/hfirstALL_have_bmi/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/hfirstALL_have_bmi/run_info.txt,203,1.625616,0.095154,1.064039,0.118373,0.6310692853246045,0.6310692853246045,0.636231884057971,0.590118577075099,0.6254773595199127,0.6254773595199127,0.6929765886287627,0.2859541685710399,0.2602668349909444,0.32609156287949664,0.28798201979781346,0.10837438423645321,non,qwk,,,False,False,,,0.0951542037229639,0.0951542037229639,0.11837274195917169,0.11837274195917169,1.625615763546798,1.625615763546798,1.064039408866995,1.064039408866995,0.10837438423645321,0.10837438423645321,0.0,1.0,0.621963381767273,0.609764039516449,0.8571428571428572,0.717948717948718,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",1.6157635467980296,0.08174404486897091,1.1822660098522169,0.07280276816608999,0.30049261083743845,0.3645320197044335,0.30049261083743845,0.6305237315875614,0.6352285395763657,0.5979249011857707,0.6305237315875614,0.691638795986622,0.5226487517356873,0.5674892663955688,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.0,0.0,0.0,0.0,0.0,-0.013410158853992993,-0.0455699737930817,-0.009852216748768461,0.11822660098522175,-0.0005455537370431252,-0.0013377926421406228,0.9148936170212766,0.0,0.0,0.18181818181818182,0.8297872340425532,0.0,0.34057971014492755,0.8297872340425532,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.8723404255319149,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.5058027079303675,0.5498065764023211
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_non_qwk,internal,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/internal/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_non_qwk/internal/run_info.txt,3881,0.970884,0.299057,0.568153,0.441098,0.8046675648727966,0.8046675648727966,0.6878755083635374,0.6916195929439508,0.8029058945483407,0.8029058945483407,0.8034982394289758,0.07927424383667196,0.17209976516098188,0.11804700326256086,0.18289280959133095,0.11028085544962639,non,qwk,,,False,False,,,0.299057441877735,0.299057441877735,0.4410983799199628,0.4410983799199628,0.9708837928368977,0.9708837928368977,0.5681525380056687,0.5681525380056687,0.11028085544962639,0.11028085544962639,0.0,1.0,0.5116661190986633,0.381119042634964,0.7519177767570051,0.7666638290627394,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",1.0350425148157691,0.30155283558584967,0.6482865240917289,0.37896449029405954,0.38649832517392424,0.6511208451430044,0.3857253285235764,0.8036120314428638,0.6848227746864737,0.6853436317537627,0.8036120314428638,0.8039854628065803,0.5264440178871155,0.5951038599014282,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.0,0.0,0.0,0.0,0.0,0.0024953937081146904,-0.06213388962590327,0.0641587219788714,0.08013398608606026,-0.001055533429932809,0.0004872233776045398,0.8342428376534788,0.14812138728323698,0.0,0.49480968858131485,0.7687585266030014,0.0,0.6996402877697842,0.767394270122783,0.0,0.1607717041800643,0.0,0.0,0.49480968858131485,0.09176300578034682,0.004043126684636119,0.0,0.0,0.0,0.004341534008683068,0.8178717598908595,0.5916955017301038,0.07406069364161849,0.0,0.0,0.04790306623249147,0.0,0.0014471780028943561,0.6311019793520489,0.7047836308104816
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/handan/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/handan/run_info.txt,506,0.525692,0.187716,0.588933,0.273737,0.7112994815241543,0.7112994815241543,0.6961861481822366,0.5958037825059102,0.7095163635366089,0.7095163635366089,0.7153012863913338,0.22085073319348422,0.18626271812489836,0.17998390329685135,0.16869162744125485,0.11462450592885376,temp_ev,macro_f1,"{'grade': [0.78, 1.68, 1.92], 'stage': [0.7000000000000001, 0.86]}",,False,True,0.65,1.1,0.11850731215330312,0.18771593090211136,0.21189832921313068,0.27373735668090715,0.5177865612648221,0.525691699604743,0.4051383399209486,0.5889328063241107,0.05138339920948617,0.11462450592885376,0.0,1.0,0.6835383176803589,0.6771565675735474,0.8333333333333334,1.0,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",0.5237154150197628,0.13595706618962422,0.3932806324110672,0.1328624606280424,0.7845849802371542,0.8003952569169961,0.7845849802371542,0.7103119084848983,0.7006442705936493,0.6040189125295509,0.7103119084848983,0.7164014895057549,0.5284448862075806,0.5696017742156982,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.06920861874880824,0.061839027467776475,0.007905138339920903,0.1837944664031621,0.06324110671936758,-0.05175886471248714,-0.14087489605286474,-0.0019762845849802257,-0.19565217391304351,-0.0009875730392560067,0.00110020311442105,0.7517899761336515,0.4,0.043478260869565216,0.0,0.6467780429594272,0.0,0.5119047619047619,0.6443914081145584,0.0,0.6666666666666666,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9307875894988067,0.19444444444444445,0.2217391304347826,0.0,0.014814814814814815,0.0,0.0,0.0,0.3221957040572792,0.5626160169716256
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/handan_have_bmi/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/handan_have_bmi/run_info.txt,446,0.542601,0.192922,0.612108,0.277849,0.7164158305462653,0.7164158305462653,0.7013845532336846,0.6057520404197435,0.7178442028985508,0.7178442028985508,0.7249236298292902,0.23584218864483683,0.19365575935628593,0.19347566606752542,0.17403319480215115,0.11659192825112108,temp_ev,macro_f1,"{'grade': [0.78, 1.68, 1.92], 'stage': [0.7000000000000001, 0.86]}",,False,True,0.65,1.1,0.12775228061804278,0.19292208949901946,0.22557122932482143,0.27784874367348633,0.5358744394618834,0.5426008968609866,0.4192825112107623,0.6121076233183856,0.05829596412556054,0.11659192825112108,0.0,1.0,0.6846922636032104,0.6784714460372925,0.8333333333333334,1.0,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",0.5426008968609866,0.1462563605524595,0.40582959641255606,0.14242713142587815,0.7757847533632287,0.7937219730941704,0.7757847533632287,0.7159977703455964,0.7068566601784861,0.6165565487757482,0.7159977703455964,0.7243126684636119,0.5268257260322571,0.5665698051452637,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.06516980888097668,0.0522775143486649,0.006726457399103158,0.19282511210762332,0.05829596412556054,-0.04666572894655996,-0.13542161224760818,0.0,-0.20627802690582958,-0.0004180602006689238,-0.0006109613656782864,0.7282608695652174,0.4,0.047619047619047616,0.0,0.6222826086956522,0.0,0.56,0.6195652173913043,0.0,0.6666666666666666,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9211956521739131,0.22580645161290322,0.22380952380952382,0.0,0.016260162601626018,0.0,0.0,0.0,0.30978260869565216,0.5735010518934082
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/hebei/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/hebei/run_info.txt,200,0.245,0.491218,0.195,0.687831,0.9699322416713722,0.9699322416713722,0.9476506639427987,0.9487179487179487,0.9737436476566911,0.9737436476566911,0.9649184975194898,0.13856078356504442,0.08876259345649215,0.12993354797363282,0.09483131484129168,0.025,temp_ev,macro_f1,"{'grade': [0.78, 1.68, 1.92], 'stage': [0.7000000000000001, 0.86]}",,False,True,0.65,1.1,0.3646688406611941,0.4912182882631726,0.41176470588235303,0.6878306878306879,0.325,0.245,0.29,0.195,0.03,0.025,0.0,1.0,0.7835639715194702,0.8169721961021423,0.6643356643356644,0.1875,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",0.32,0.4043428818974387,0.33,0.27184466019417486,0.785,0.805,0.785,0.9717673630717109,0.9525025536261491,0.9548717948717949,0.9717673630717109,0.9624379872430899,0.5475285649299622,0.5852903127670288,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,0.1265494476019785,0.27606598194833487,-0.08000000000000002,-0.09499999999999997,-0.0049999999999999975,-0.08687540636573388,-0.41598602763651304,0.07500000000000001,0.135,0.0018351214003387017,-0.002480510276399839,1.0,0.3333333333333333,0.0,0.0,1.0,0.25,0.4117647058823529,1.0,0.09090909090909091,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.16666666666666666,0.25,0.030303030303030304,0.0,0.0,0.0,0.5,0.8
Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128,grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/hfirstALL/result.txt,Finetuning/result_tmp/swin_large_384_ark_plus_mimic_embtab_v2lite_seed42_CORN_tuneS1_grandBatch128/decoder_temp_ev_macro_f1/hfirstALL/run_info.txt,221,1.506787,0.085252,0.823529,0.220006,0.6251441753171857,0.6251441753171857,0.6262062440870387,0.5721804511278195,0.6200692041522491,0.6200692041522491,0.6747417840375588,0.3045877711805284,0.2742643470331911,0.3441789144843952,0.3026441369272258,0.09502262443438914,temp_ev,macro_f1,"{'grade': [0.78, 1.68, 1.92], 'stage': [0.7000000000000001, 0.86]}",,False,True,0.65,1.1,0.08682565408659415,0.08525161571418194,0.11173633440514474,0.22000592025866972,1.6470588235294117,1.506787330316742,1.085972850678733,0.8235294117647058,0.10407239819004525,0.09502262443438914,0.0,1.0,0.6284409165382385,0.61797034740448,0.8295454545454546,0.7102272727272727,True,0 / not_used_in_v2_patch1,"{'00_11': 1.0, '11_21': 0.6, '11_12': 1.2, '21_22': 0.8, '12_22': 0.7, '22_32': 1.5}",1.6334841628959276,0.07533884879422637,1.1945701357466063,0.07050602728838262,0.29411764705882354,0.3574660633484163,0.29411764705882354,0.6249134948096885,0.6236518448438978,0.579281537176274,0.6249134948096885,0.6731455399061033,0.5239824652671814,0.5693567395210266,True,0.5,0.6,8.0,12.0,residual_gated,residual_gated,True,False,False,False,joint_inv_freq,0.5,5.0,2.0,4.0,5,3,10,-0.001574038372412212,0.10826958585352497,-0.14027149321266963,-0.2624434389140271,-0.009049773755656118,-0.009912766919955573,-0.1494998929702871,0.12669683257918551,0.37104072398190047,-0.00023068050749719404,-0.0015962441314555376,0.7254901960784313,0.3157894736842105,0.08928571428571429,0.010526315789473684,0.6078431372549019,0.1,0.4666666666666667,0.6078431372549019,0.0,0.45454545454545453,0.0,0.11363636363636363,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.21052631578947367,0.2025375939849624,0.1,0.03787878787878788,0.0,0.0,0.0,0.3091847265221878,0.5464396284829721
