experiment_id,lambda_joint_soft_group,decoder_name,cohort,invalid_type,count
grandBatch128,joint_ce_on,decoder_non_qwk,handan,g0_s2,26
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,g0_s2,26
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,g0_s2,6
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,g0_s2,23
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,g0_s2,22
grandBatch128,joint_ce_on,decoder_non_qwk,internal,g0_s2,424
grandBatch128,joint_ce_on,decoder_non_qwk,internal,g3_s0,4
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,g0_s1,56
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,g0_s2,1
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,g1_s0,1
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,g0_s1,50
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,g0_s2,1
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,g1_s0,1
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,g0_s1,5
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,g0_s1,19
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,g0_s2,2
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,g0_s1,18
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,g0_s2,2
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,g0_s1,164
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,g0_s2,13
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,g1_s0,24
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,g0_s1,68
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,g1_s0,1
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,g0_s1,65
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,g1_s0,1
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,g0_s1,9
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,g0_s1,28
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,g1_s0,2
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,g0_s1,28
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,g1_s0,1
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,g0_s1,181
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,g0_s2,5
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,g1_s0,35
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,g0_s2,33
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,g0_s2,30
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,g0_s2,5
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,g0_s2,25
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,g3_s0,1
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,g0_s2,24
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,g3_s0,1
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,g0_s2,457
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,g3_s0,4
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,g0_s1,30
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,g1_s0,3
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,g0_s1,29
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,g1_s0,3
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,g0_s1,4
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,g1_s0,1
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,g0_s1,13
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,g0_s1,13
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,g0_s1,141
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,g1_s0,18
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,g0_s1,107
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,g0_s1,100
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,g0_s1,16
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,g0_s1,40
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,g0_s1,37
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,g0_s1,335
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,g0_s2,5
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,g1_s0,2
