experiment_id,lambda_joint_soft_group,decoder_name,cohort,metric_name,metric_value
grandBatch128,joint_ce_on,decoder_non_qwk,handan,MAE_grade,0.517787
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,MAE_grade,0.535874
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,MAE_grade,0.325
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,MAE_grade,1.647059
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,MAE_grade,1.625616
grandBatch128,joint_ce_on,decoder_non_qwk,internal,MAE_grade,0.970884
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,MAE_grade,0.525692
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,MAE_grade,0.542601
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,MAE_grade,0.245
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,MAE_grade,1.506787
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,MAE_grade,1.477833
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,MAE_grade,0.642618
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,MAE_grade,0.679842
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,MAE_grade,0.695067
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,MAE_grade,0.22
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,MAE_grade,1.38009
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,MAE_grade,1.359606
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,MAE_grade,0.626127
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,MAE_grade,0.505929
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,MAE_grade,0.515695
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,MAE_grade,0.315
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,MAE_grade,1.633484
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,MAE_grade,1.610837
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,MAE_grade,0.981706
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,MAE_grade,0.517787
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,MAE_grade,0.526906
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,MAE_grade,0.265
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,MAE_grade,1.529412
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,MAE_grade,1.502463
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,MAE_grade,0.637465
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,MAE_grade,0.596838
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,MAE_grade,0.600897
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,MAE_grade,0.225
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,MAE_grade,1.434389
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,MAE_grade,1.413793
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,MAE_grade,0.631281
grandBatch128,joint_ce_on,decoder_non_qwk,handan,QWK_grade,0.118507
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,QWK_grade,0.127752
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,QWK_grade,0.364669
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,QWK_grade,0.086826
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,QWK_grade,0.095154
grandBatch128,joint_ce_on,decoder_non_qwk,internal,QWK_grade,0.299057
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,QWK_grade,0.187716
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,QWK_grade,0.192922
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,QWK_grade,0.491218
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,QWK_grade,0.085252
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,QWK_grade,0.095117
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,QWK_grade,0.375123
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,QWK_grade,0.163277
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,QWK_grade,0.167531
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,QWK_grade,0.657556
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,QWK_grade,0.098972
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,QWK_grade,0.114482
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,QWK_grade,0.388525
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,QWK_grade,0.151671
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,QWK_grade,0.168569
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,QWK_grade,0.398403
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,QWK_grade,0.092085
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,QWK_grade,0.100934
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,QWK_grade,0.277312
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,QWK_grade,0.177345
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,QWK_grade,0.186474
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,QWK_grade,0.40309
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,QWK_grade,0.078112
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,QWK_grade,0.086801
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,QWK_grade,0.376192
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,QWK_grade,0.201245
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,QWK_grade,0.215701
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,QWK_grade,0.610921
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,QWK_grade,0.095701
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,QWK_grade,0.10262
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,QWK_grade,0.390129
grandBatch128,joint_ce_on,decoder_non_qwk,handan,MAE_stage,0.405138
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,MAE_stage,0.419283
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,MAE_stage,0.29
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,MAE_stage,1.085973
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,MAE_stage,1.064039
grandBatch128,joint_ce_on,decoder_non_qwk,internal,MAE_stage,0.568153
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,MAE_stage,0.588933
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,MAE_stage,0.612108
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,MAE_stage,0.195
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,MAE_stage,0.823529
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,MAE_stage,0.783251
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,MAE_stage,0.494203
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,MAE_stage,0.715415
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,MAE_stage,0.73991
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,MAE_stage,0.245
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,MAE_stage,0.886878
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,MAE_stage,0.866995
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,MAE_stage,0.578201
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,MAE_stage,0.401186
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,MAE_stage,0.40583
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,MAE_stage,0.3
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,MAE_stage,1.085973
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,MAE_stage,1.064039
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,MAE_stage,0.557846
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,MAE_stage,0.492095
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,MAE_stage,0.506726
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,MAE_stage,0.255
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,MAE_stage,0.936652
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,MAE_stage,0.901478
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,MAE_stage,0.517135
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,MAE_stage,0.679842
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,MAE_stage,0.701794
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,MAE_stage,0.26
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,MAE_stage,0.909502
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,MAE_stage,0.8867
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,MAE_stage,0.573821
grandBatch128,joint_ce_on,decoder_non_qwk,handan,QWK_stage,0.211898
grandBatch128,joint_ce_on,decoder_non_qwk,handan_have_bmi,QWK_stage,0.225571
grandBatch128,joint_ce_on,decoder_non_qwk,hebei,QWK_stage,0.411765
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,QWK_stage,0.111736
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,QWK_stage,0.118373
grandBatch128,joint_ce_on,decoder_non_qwk,internal,QWK_stage,0.441098
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan,QWK_stage,0.273737
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,handan_have_bmi,QWK_stage,0.277849
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hebei,QWK_stage,0.687831
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL,QWK_stage,0.220006
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,QWK_stage,0.239316
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,QWK_stage,0.508965
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,QWK_stage,0.163521
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,QWK_stage,0.164706
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,QWK_stage,0.666667
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,QWK_stage,0.128462
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,QWK_stage,0.137282
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,QWK_stage,0.492244
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,QWK_stage,0.25407
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,QWK_stage,0.270624
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,QWK_stage,0.380734
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,QWK_stage,0.105547
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,QWK_stage,0.111588
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,QWK_stage,0.444568
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,QWK_stage,0.279888
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,QWK_stage,0.284424
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,QWK_stage,0.524089
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,QWK_stage,0.185621
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,QWK_stage,0.203138
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,QWK_stage,0.504199
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,QWK_stage,0.199011
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,QWK_stage,0.197067
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,QWK_stage,0.621027
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,QWK_stage,0.150875
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,QWK_stage,0.171636
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,QWK_stage,0.488292
